pl_name,pl_orbper,disc_method,disc_year,pl_orbeccen,pl_eqt,Confirmed,st_mass,st_teff,st_rad,st_lum,st_age,pl_radius_rearth
Kepler-1643 b,5.342657,tran,2016,0.0,799.0,0,0.845,4916.0,0.855,-0.47156,0.046,2.3204700000000003
HR 858 c,5.973865,tran,2019,0.0,1309.0,0,1.204,6354.0,1.258,0.36361,2.0,1.9791799806000003
GJ 1061 b,3.204,rv,2020,0.31,815.5,0,0.12,2953.0,0.156,-2.76955,7.0,1.100822
Kepler-1269 b,37.3331536,tran,2016,0.0,657.0,0,1.1,5998.0,1.15,0.5557,3.55,1.6301454206000003
K2-409 b,1.908084,tran,2022,0.0,815.5,0,0.886,5742.0,1.228,0.17248,3.98,2.4822257039
Qatar-6 b,3.506195,tran,2017,0.0,1006.0,0,0.822,5052.0,0.722,-0.51428,1.02,11.905020000000002
KOI-984 c,21.512,ttv,2022,0.38,597.0,0,0.928,5295.0,0.818,-0.324,1.3,14.012500000000001
Kepler-1791 b,7.720860004,tran,2021,0.0,1021.0,0,0.985,5887.0,1.177,0.176,3.73,3.1213169961000005
Kepler-1053 b,2.414351654,tran,2016,0.0,953.0,0,0.74,4529.0,0.69,-0.89512,3.09,0.9800873854000002
Kepler-1132 b,62.8916228,tran,2016,0.0,384.0,0,0.87,5298.0,0.83,-0.37811,4.57,2.3502096816
Kepler-413 b,66.262,tran,2014,0.1181,815.5,0,0.82,4700.0,0.7761,-0.42994,3.98,4.349480000000001
Kepler-1558 b,3.50470358,tran,2016,0.0,1019.0,0,0.83,5101.0,0.79,-0.48006,4.9,0.6800607034
WASP-8 c,4323.0,rv,2013,0.0,815.5,0,1.04,5600.0,1.03,-0.05754,4.0,12.555200000000003
Kepler-1983 b,7.32851947,tran,2023,0.0,807.0,0,0.812,5135.0,0.874,-0.48076,13.7,2.3302118263000002
Kepler-521 b,22.20813214,tran,2016,0.0,803.0,0,1.34,6406.0,1.46,0.67119,1.78,3.1802837260000003
TOI-1516 b,2.056014,tran,2022,0.0,1839.0,0,1.14,6520.0,1.14,0.39065,4.82,15.245600000000001
Kepler-1576 b,6.98471973,tran,2016,0.0,1059.0,0,1.05,5876.0,1.06,-0.06329,4.07,1.0400928339
Kepler-293 c,54.155743,tran,2014,0.0,466.0,0,0.934,5804.0,0.957,-0.23265,1.32,3.8338200000000007
KOI-7368 b,6.8430344,tran,2022,0.0,805.0,0,0.879,5241.0,0.874,-0.31552,0.036,2.21958
EPIC 201833600 c,3.96151,tran,2019,0.0,815.5,0,0.611,4326.0,0.634,-0.87356,3.98,1.0000891642
HATS-6 b,3.3252725,tran,2015,0.0,712.8,0,0.574,3724.0,0.57,-1.09983,8.1,11.18758
HAT-P-35 b,3.646706,tran,2011,0.02,1581.0,0,1.236,6096.0,1.435,0.38307,3.5,14.931720000000002
Kepler-343 c,23.22182,tran,2014,0.0,746.0,0,1.055,5807.0,1.433,0.2162,6.46,2.0178000000000003
Kepler-839 b,37.8144514,tran,2016,0.0,626.0,0,1.22,6058.0,1.31,0.43706,2.82,2.5702292484
Kepler-1386 b,6.73972381,tran,2016,0.0,1011.0,0,1.02,5733.0,1.03,0.00882,5.01,1.2401106219000002
K2-389 c,20.851337,tran,2022,0.0,815.5,0,0.802,5782.0,1.084,0.10644,3.98,2.0401854732
TOI-1794 b,8.765528,tran,2024,0.0,992.91,0,0.9698,5631.0,1.3162,0.19728,10.8,3.2973125388
Kepler-339 b,4.977656,tran,2014,0.0,1023.0,0,0.87,5631.0,0.802,-0.31322,0.98,1.4236700000000002
Kepler-1805 b,8.847940445,tran,2021,0.0,479.0,0,0.581,3867.0,0.552,-1.17695,13.8,1.5451696971000002
TOI-261.01,3.3639254,tran,2024,0.0,1722.49,0,0.496728,5890.3,1.28018,0.24978,3.98,3.0419583794
Kepler-235 b,3.340222,tran,2014,0.0,731.0,0,0.581,4255.0,0.554,-1.10237,6.0,2.2307900000000003
Kepler-1345 b,44.6169557,tran,2016,0.0,693.0,0,1.32,6449.0,1.55,0.69266,2.24,2.3602105710000005
Kepler-223 b,7.38449,tran,2014,0.078,1042.0,0,1.125,5803.0,1.72,0.37128,8.91,2.9902667153000007
TOI-332 b,0.777038,tran,2023,0.0,1871.0,0,0.88,5251.0,0.87,-0.22143,5.0,3.2002909977000003
Kepler-601 b,5.378868441,tran,2016,0.0,833.0,0,0.85,5160.0,0.79,-0.42817,4.07,1.9001695465000001
Kepler-1021 b,13.47469571,tran,2016,0.0,634.0,0,0.89,5431.0,0.86,-0.28836,4.68,2.3302079028000002
K2-319 b,26.68,tran,2020,0.0,641.0,0,0.954,5440.0,0.898,-0.23747,3.98,2.7902489273000004
Kepler-523 b,5.835983111,tran,2016,0.0,884.0,0,0.93,5515.0,0.86,-0.27953,2.45,1.9601748829000003
GJ 3222 b,10.66669,rv,2022,0.929,815.5,0,0.89,5257.46,0.931389,-0.252,3.98,3.39663
Kepler-141 c,7.010606,tran,2014,0.0,738.0,0,0.878,4910.0,0.787,-0.44625,12.39,1.41246
TOI-2768 b,1.50801,tran,2024,0.0,855.0,0,0.63,4008.0,0.657,-0.99801,3.98,2.6302391809000003
Kepler-150 f,637.2093,tran,2017,0.0,815.5,0,0.97,5528.0,0.905339,-0.16141,1.74,3.6403247505
Kepler-304 c,5.315946,tran,2014,0.0,746.0,0,0.737,4731.0,0.687,-0.6616,2.09,2.1747400000000003
Kepler-1167 b,1.003933739,tran,2016,0.0,1419.0,0,0.79,4971.0,0.75,-0.53589,4.27,1.7101525358000003
K2-43 b,3.471149,tran,2016,0.07,939.3,0,0.571,3840.6,0.542,-1.21241,3.98,4.5104023525
K2-398 b,6.393025,tran,2022,0.0,815.5,0,0.945,5946.0,1.239,0.25966,3.98,2.2742067784000004
Kepler-1096 b,2.892217506,tran,2016,0.0,794.0,0,0.66,4306.0,0.63,-0.84044,3.8,1.2401106219000002
