pl_name,pl_orbper,disc_method,disc_year,pl_orbeccen,pl_eqt,Confirmed,st_mass,st_teff,st_rad,st_lum,st_age,pl_radius_rearth
Kepler-235 e,46.183669,tran,2014,0.0,306.0,0,0.581,4255.0,0.554,-1.10237,6.0,2.21958
Kepler-334 d,25.09849,tran,2014,0.0,656.0,0,1.022,5828.0,1.068,0.05556,2.75,1.41246
Kepler-279 c,35.736,tran,2013,0.0,774.0,0,1.1,6689.45,1.07,0.5188,0.22,4.30464
Kepler-251 d,30.133001,tran,2014,0.0,536.0,0,0.891,5526.0,0.89,-0.17197,2.0,2.76887
Kepler-729 b,3.166353714,tran,2016,0.0,1273.0,0,0.94,5633.0,0.91,0.26135,4.27,3.5803194141000003
Kepler-687 b,20.50586978,tran,2016,0.0,518.0,0,0.77,4841.0,0.73,-0.56669,5.5,3.5203140777
Kepler-119 b,2.422082,tran,2014,0.0,1213.0,0,0.918,5595.0,0.839,-0.0366,3.63,3.5984100000000003
Kepler-1115 b,23.5540725,tran,2016,0.0,1381.0,0,1.6,8480.0,1.73,1.25385,1.12,1.7001516464000002
Kepler-1073 b,8.67888593,tran,2016,0.0,905.0,0,1.0,5792.0,1.0,-0.01023,3.72,2.3002052346
HD 16175 b,990.0,rv,2009,0.6,815.5,0,1.63,5981.0,1.72,0.50786,3.3,12.7794
Kepler-405 b,10.613839,tran,2014,0.0,785.0,0,0.873,5818.0,0.893,-0.33143,2.09,2.0850600000000004
Kepler-899 b,19.17891293,tran,2016,0.0,640.0,0,0.93,5595.0,0.91,0.04831,4.07,2.6802391439
Kepler-1255 b,36.2919336,tran,2016,0.0,694.0,0,1.08,6018.0,1.12,0.30726,3.55,2.3202070134
K2-55 b,2.849258,tran,2016,0.07,912.0,0,0.696,4456.0,0.63,-0.78432,3.98,3.8203407597
Kepler-1447 b,56.6747285,tran,2016,0.0,522.0,0,0.97,5722.0,0.95,-0.04217,4.17,2.9002587107
K2-108 b,4.733999,tran,2017,0.18,1360.0,0,1.17,5599.0,1.76,0.40539,7.8,5.3304755075
TOI-220 b,10.695264,tran,2021,0.032,805.0,0,0.825,5298.0,0.858,-0.26668,10.1,3.0302755416
HD 23472 d,3.97664,tran,2022,0.07,909.0,0,0.67,4684.0,0.71,-0.62525,3.98,0.7500681623000001
HD 215497 c,566.0,rv,2009,0.47,815.5,0,0.92,5113.0,0.85,-0.41,5.8,13.0036
TOI-5726.01,5.491125215,tran,2024,0.0,1093.03,0,1.06,5874.0,1.106,0.11832,3.98,2.5542322421000003
GJ 338 B b,24.422,rv,2020,0.109,391.0,0,0.64,4014.0,0.58,-1.10127,4.0,3.2509
TOI-2285 b,13.635109,tran,2021,0.3,358.0,0,0.454,3491.0,0.464,-1.54212,3.98,1.7701610110000001
Kepler-279 d,54.414,tran,2013,0.0,574.0,0,1.1,6689.45,1.07,0.5188,0.22,3.1051700000000007
Kepler-659 b,17.671796,tran,2016,0.0,513.0,0,0.79,4870.0,0.74,-0.52596,3.24,2.5002230226
Kepler-903 b,10.3507721,tran,2016,0.0,842.0,0,0.98,5682.0,0.97,0.36464,4.79,2.0101793299
TOI-411 c,9.573083,tran,2022,0.16,931.0,0,1.098,6169.0,1.117,0.20919,2.5,2.3282117381000003
Kepler-1118 b,38.6715075,tran,2016,0.0,502.0,0,0.96,5688.0,0.97,-0.06047,4.07,2.7402444803000003
Kepler-133 c,31.517586,tran,2014,0.0,663.0,0,1.02,5736.0,1.425,0.4105,6.03,2.8361300000000003
Kepler-620 b,12.91375431,tran,2016,0.0,849.0,0,1.15,6155.0,1.22,0.34079,3.02,3.3202961776
Kepler-92 b,13.749,tran,2013,0.17,975.0,0,1.21,5883.0,1.7,0.55818,3.98,3.5087300000000003
HAT-P-51 b,4.21802091,tran,2015,0.07,1168.2,0,0.961,5453.0,0.995,-0.10237,8.1,13.508050000000003
Kepler-179 b,2.735926,tran,2014,0.0,1075.0,0,0.893,5302.0,0.759,-0.27765,1.74,1.63666
Kepler-1755 b,24.81209946,tran,2021,0.0,631.0,0,1.003,6086.0,0.921,0.27353,0.3,5.9174212427
Kepler-396 c,88.505,tran,2013,0.0,390.0,0,0.85,5656.0,1.06,-0.13461,0.62,5.30233
Kepler-664 b,2.525593315,tran,2016,0.0,1406.0,0,1.01,5754.0,1.02,-0.11113,4.68,2.6602373651
Kepler-1123 b,4.33946454,tran,2016,0.0,1061.0,0,0.93,5500.0,0.9,-0.29455,5.13,1.6701489782000003
Kepler-1098 b,2.543072855,tran,2016,0.0,1319.0,0,0.99,5794.0,0.99,0.15655,3.98,1.3001159583000002
HAT-P-49 b,2.69155,tran,2014,0.0,2131.0,0,2.22,6820.0,2.06,0.814,1.5,17.823900000000002
XO-4 b,4.12508,tran,2010,0.0,1630.0,0,1.1,6397.0,1.45,0.53558,2.1,14.012500000000001
Kepler-1084 b,2.05333679,tran,2016,0.0,1737.0,0,1.12,6113.0,1.28,0.25259,4.07,1.1100990597
Kepler-520 b,19.67416124,tran,2016,0.0,711.0,0,1.1,6112.0,1.09,0.51032,2.04,1.6601480888
nu Oph b,529.93,rv,2012,0.126,815.5,0,2.61,4887.0,12.24,1.89476,0.65,11.994700000000002
Kepler-1895 b,6.070290089,tran,2021,0.0,789.0,0,0.86,5076.0,0.763,-0.22959,1.2,2.1195400543000003
HD 171238 b,1532.0,rv,2009,0.234,815.5,0,0.96,5440.0,1.01,-0.09,7.56,12.555200000000003
Kepler-1669 b,9.51216,tran,2020,0.0,530.0,0,0.67,4303.0,0.714145,-0.80265,13.9,2.7806862368000003
Kepler-339 d,10.558345,tran,2014,0.0,796.0,0,0.87,5631.0,0.802,-0.31322,0.98,1.16584
Kepler-351 d,142.544247,tran,2016,0.0,318.0,0,0.81,5225.0,0.78,-0.38644,4.9,2.7202427015
HAT-P-29 b,5.72319,tran,2011,0.09,1271.0,0,1.45,6087.0,1.3,0.2722,2.2,13.1157
WASP-12 b,1.091418901,tran,2008,0.0447,2601.0,0,1.325,6265.0,1.69,0.59711,3.05,22.02765
WASP-54 b,3.69364,tran,2012,0.07,1759.0,0,1.08,6100.0,1.76,0.57477,6.9,17.711800000000004
WASP-88 b,4.954,tran,2014,0.0,1772.0,0,0.94,6430.0,1.8,0.72351,3.0,16.366600000000002
WASP-100 b,2.84938,tran,2014,0.0,2190.0,0,0.77,6900.0,1.57,0.76571,1.57,14.909300000000002
Kepler-54 c,12.0717249,tran,2012,0.0,395.0,0,0.51,3705.0,0.5,-1.30103,13.8,1.2331
Kepler-176 c,12.759712,tran,2014,0.0,633.0,0,0.86,5232.0,0.891,-0.40427,2.45,2.6007200000000004
WASP-26 b,2.7566,tran,2010,0.0,1650.0,0,0.86,6034.0,1.22,0.28725,6.0,13.5641
WASP-6 b,3.36101,tran,2009,0.05,1184.0,0,0.55,5450.0,0.73,-0.29675,11.0,11.5463
Kepler-24 c,12.33,tran,2011,0.014,915.0,0,1.06,6028.0,1.099,0.064,3.02,2.5142285724000004
Kepler-1373 b,1.29123275,tran,2016,0.0,1887.0,0,1.22,6299.0,1.33,0.77358,2.51,1.1601035067
Kepler-1104 b,5.03728015,tran,2016,0.0,1321.0,0,1.3,6417.0,1.41,0.51439,2.04,1.2301097325
HD 240210 b,501.75,rv,2009,0.15,815.5,0,0.82,4297.0,25.456816,1.55,5.085,12.7794
CoRoT-5 b,4.0378962,tran,2009,0.09,1438.0,0,1.0,6100.0,1.186,0.18,6.9,15.55948
TrES-3 b,1.30618581,tran,2007,0.0,1638.0,0,0.928,5650.0,0.829,-0.20412,0.9,14.976560000000003
WASP-5 b,1.6284279,tran,2008,0.038,1706.0,0,0.96,5700.0,1.029,0.06717,5.4,12.185270000000001
HD 207832 c,1155.7,rv,2012,0.27,815.5,0,0.94,5710.0,0.901,-0.112,1.36,14.012500000000001
HAT-P-39 b,3.54387,tran,2012,0.0,1752.0,0,1.404,6430.0,1.625,0.607,2.0,17.61091
Kepler-46 c,57.011,ttv,2012,0.0146,455.0,0,0.902,5155.0,0.938,-0.255,9.7,13.5641
Kepler-46 b,33.60134,tran,2012,0.01,543.0,0,0.902,5155.0,0.938,-0.255,9.7,9.057680000000001
Kepler-452 b,384.843,tran,2015,0.0,265.0,1,1.037,5757.0,1.11,0.08448,6.0,1.6301454206000003
GJ 3998 b,2.65033,rv,2016,0.0,815.5,0,0.52,3726.0,0.5,-1.358,8.38,1.3900400000000002
Kepler-57 c,11.6,tran,2012,0.0725,671.0,0,0.859,5187.9,0.826,-0.34241,3.31,2.1961997514
Kepler-1499 b,44.2008,tran,2016,0.0,409.0,0,0.82,5097.0,0.78,-0.46443,4.68,1.1901061749000001
OGLE-TR-111 b,4.0144463,tran,2004,0.0,1019.0,0,0.82,5040.0,0.83,-0.33862,8.8,11.42299
HAT-P-13 b,2.91625,tran,2009,0.0133,1740.0,0,1.32,5653.0,1.756,0.346,5.0,14.259120000000001
HAT-P-13 c,446.27,rv,2009,0.6616,340.0,0,1.32,5653.0,1.756,0.346,5.0,12.331000000000001
MOA-2009-BLG-387L b,1980.0,micro,2010,0.0,815.5,0,0.19,5552.0,0.95,-0.0734,3.98,13.2278
Kepler-53 c,38.5583038,tran,2012,0.0,550.0,0,0.98,5858.0,0.89,0.03558,0.3,3.17243
Kepler-59 b,11.8681707,tran,2012,0.0,864.0,0,1.04,6074.0,0.94,0.32374,0.26,1.0985800000000001
Kepler-54 b,8.0109434,tran,2012,0.022,453.0,0,0.51,3705.0,0.5,-1.30103,13.8,2.09627
Kepler-52 c,16.3850021,tran,2012,0.012,433.0,0,0.54,4075.0,0.52,-0.99568,3.55,1.8384400000000003
HD 109749 b,5.239891,rv,2005,0.0,815.5,0,1.13,5824.0,1.22,0.19,3.3,11.131530000000001
HD 149143 b,4.07182,rv,2005,0.0167,815.5,0,1.2,5856.0,1.44,0.35,4.28,13.676200000000001
HD 231701 b,141.63,rv,2007,0.13,815.5,0,1.21,6101.0,1.53,0.47,3.43,13.676200000000001
TOI-1683.01,3.0575356,tran,2024,0.0,929.25,0,0.694661,4402.0,0.7,-0.78662,3.98,2.6355765982000006
Kepler-213 b,2.46236,tran,2014,0.0,1326.0,0,1.07,5696.0,1.195,0.082,1.62,1.62545
V830 Tau b,4.927,rv,2016,0.0,815.5,1,1.0,4250.0,2.0,0.08,0.0022,14.012500000000001
Kepler-139 e,2047.635373,rv,2023,0.013121,815.5,0,1.078,5622.0,1.045,0.01598,5.1,13.676200000000001
GJ 3634 b,2.64561,rv,2010,0.08,815.5,0,0.45,3517.0,0.43,-1.699,5.0,2.8361300000000003
HAT-P-4 b,3.056536,tran,2007,0.0,1686.0,0,1.248,5860.0,1.596,0.431,3.9,14.281540000000001
OGLE-TR-132 b,1.689868,tran,2004,0.6,2013.0,0,1.305,6210.0,1.32,0.371,1.2,13.452
OGLE-TR-56 b,1.2119189,tran,2002,0.0,2212.0,0,1.228,6050.0,1.363,0.35,3.0,15.279389294100001
Kepler-55 b,27.9481449,tran,2012,0.0,400.0,0,0.62,4362.0,0.58,-0.76324,2.34,2.43257
Kepler-30 b,29.33434,tran,2012,0.042,524.0,0,0.99,5498.0,0.95,-0.23658,2.0,3.90108
Kepler-30 d,143.34394,tran,2012,0.022,308.0,0,0.99,5498.0,0.95,-0.23658,2.0,8.799850000000001
WTS-1 b,3.352057,tran,2012,0.1,1500.0,0,1.2,6250.0,1.15,0.08842,2.55,16.7029
HD 37605 b,55.01292,rv,2004,0.6745,815.5,0,0.94,5329.0,0.91,-0.22,5.65,13.2278
HIP 14810 b,6.673892,rv,2005,0.14399,815.5,0,1.01,5544.0,1.07,-0.01,5.84,13.0036
HIP 14810 c,147.747,rv,2006,0.1566,815.5,0,1.01,5544.0,1.07,-0.01,5.84,13.676200000000001
HD 17674 b,623.8,rv,2017,0.13,815.5,0,0.98,5904.0,1.18,0.20472,8.4,13.900400000000001
HD 20329 b,0.926118,tran,2022,0.0,2141.0,0,0.9,5596.0,1.13,0.04922,11.0,1.7201564519
Kepler-397 b,22.250949,tran,2014,0.0,539.0,0,0.844,5307.0,0.767,-0.376,5.25,2.45499
HAT-P-28 b,3.257215,tran,2011,0.051,1384.0,0,1.025,5680.0,1.103,0.053,6.1,13.58652
47 UMa b,1078.0,rv,1996,0.032,815.5,0,1.06,5872.0,1.21334,0.1978,6.48,13.2278
47 UMa c,2391.0,rv,2001,0.098,815.5,0,1.06,5872.0,1.21334,0.1978,6.48,14.2367
BD-08 2823 c,237.6,rv,2009,0.19,815.5,0,0.74,4746.0,0.71,-0.62597,4.5,12.443100000000001
HD 40307 b,4.3123,rv,2009,0.2,910.0,0,0.77,4956.0,0.716684,-0.639,4.5,1.8272300000000001
HD 40307 f,51.76,rv,2013,0.02,398.0,0,0.77,4956.0,0.716684,-0.639,4.5,2.1299
WASP-59 b,7.919585,tran,2012,0.1,670.0,0,0.719,4650.0,0.613,-0.79407,0.5,8.687750000000001
HD 190984 b,4885.0,rv,2009,0.57,815.5,0,0.91,5988.0,1.53,0.43,3.98,13.0036
HIP 14810 d,981.8,rv,2009,0.185,815.5,0,1.01,5544.0,1.07,-0.01,5.84,14.124600000000001
HD 207832 b,160.07,rv,2012,0.197,815.5,0,1.05,5726.0,0.89,-0.11,1.36,14.124600000000001
HD 1605 b,577.2,rv,2015,0.095,815.5,0,1.33,4915.0,3.49,0.81,4.36,13.788300000000001
Kepler-283 b,11.008151,tran,2014,0.0,488.0,0,0.596,4351.0,0.566,-0.98297,3.09,2.1299
HD 33142 b,330.0,rv,2011,0.049,815.5,0,1.52,5025.4,4.17,1.00043,2.72,13.676200000000001
CoRoT-6 b,8.886593,tran,2009,0.1,1017.0,0,1.05,6090.0,1.025,0.02573,2.5,13.07086
HD 110014 b,835.477,rv,2009,0.462,815.5,0,2.17,4445.0,20.9,2.30408,0.95,12.443100000000001
HD 103774 b,5.8881,rv,2013,0.09,815.5,0,1.335,6489.0,1.581047,0.544,1.05,13.3399
HD 109271 b,7.8543,rv,2013,0.25,815.5,0,1.047,5783.0,1.294595,0.301,7.3,4.31585
HD 10647 b,989.2,rv,2006,0.15,815.5,0,1.11,6218.0,1.1,0.149,1.4,13.788300000000001
HD 1605 c,2149.0,rv,2015,0.099,815.5,0,1.33,4915.0,3.49,0.81,4.36,13.0036
HD 148164 b,328.55,rv,2018,0.587,815.5,0,1.21,6032.0,1.34,0.33,2.41,13.676200000000001
HD 211810 b,1558.0,rv,2018,0.68,815.5,0,1.03,5652.0,1.13,0.07,3.98,14.012500000000001
Kepler-356 c,13.121632,tran,2014,0.0,913.0,0,1.163,6133.0,1.335,0.46128,4.17,1.8048100000000002
KOI-1833 d,7.685,tran,2021,0.0,613.0,0,0.681,4413.0,0.667,-0.7626,2.14,2.5802346218
NY Vir b,3160.0,etv,2011,0.15,815.5,0,0.459,32780.0,0.151,1.37508,3.98,13.3399
HIP 5158 b,345.72,rv,2009,0.52,815.5,0,0.78,4962.0,0.75,-0.95861,6.0,13.5641
HD 134987 c,5000.0,rv,2009,0.12,815.5,0,1.1,5585.0,1.25,0.25527,8.4,13.900400000000001
WASP-64 b,1.5732918,tran,2012,0.0,1689.0,0,1.004,5400.0,1.058,-0.022,1.2,14.24791
PH1 b,138.317,tran,2012,0.0702,481.0,0,1.528,6407.0,1.734,0.66,2.0,6.176710000000001
Kepler-595 c,12.38602,tran,2020,0.0,679.0,0,0.93,5138.5,0.821,-0.34768,2.7,1.0090900095000002
PSR B1257+12 b,25.262,pul,1994,0.0,815.5,0,1.4,5552.0,0.95,-0.0734,3.0,0.33854200000000007
PSR B1257+12 d,98.2114,pul,1992,0.0264,815.5,0,1.4,5552.0,0.95,-0.0734,3.0,1.8048100000000002
Kepler-1178 b,31.80634,tran,2016,0.0,378.0,0,0.8,4990.0,0.75,-0.27723,4.68,1.0700955021
Kepler-805 b,30.8638931,tran,2016,0.0,743.0,0,1.19,6112.0,1.65,0.5408,4.27,2.8902578213
Kepler-158 d,0.645088,tran,2024,0.0,815.5,0,0.656,4895.97,0.668,-0.75667,13.9,0.43003914100000007
K2-368 d,20.201085,tran,2022,0.0,815.5,0,0.746,4663.0,0.663,-0.69293,3.98,1.9481771562
HD 148156 b,1027.0,rv,2009,0.52,815.5,0,1.22,6308.0,1.21,0.25042,3.98,13.900400000000001
HD 156411 b,842.2,rv,2009,0.22,815.5,0,1.25,5900.0,2.16,0.731,4.28,14.012500000000001
HD 8535 b,1313.0,rv,2010,0.15,815.5,0,1.13,6136.0,1.19,0.33266,3.98,14.012500000000001
Kepler-186 b,3.8867907,tran,2014,0.0,571.0,0,0.478,3788.0,0.472,-1.385,4.0,1.06495
Kepler-186 c,7.267302,tran,2014,0.0,464.0,0,0.478,3788.0,0.472,-1.385,4.0,1.2555200000000002
GJ 674 b,4.6938,rv,2007,0.2,815.5,0,0.35,3600.0,0.36463,-1.796,0.55,3.32937
HD 69830 d,197.0,rv,2006,0.07,815.5,0,0.86,5385.0,0.886947,-0.22,7.0,4.45037
HD 93083 b,143.58,rv,2005,0.14,815.5,0,0.7,4995.0,0.850835,-0.38722,7.71,13.452
K2-61 b,2.57302,tran,2016,0.0,815.5,0,1.21,6293.0,1.36,-0.01524,3.98,2.4802212438000004
ZTF J1828+2308 b,0.1120067,tran,2025,0.0,815.5,0,0.61,15900.0,0.0131,-2.0,3.98,11.131530000000001
GJ 887 c,21.789,rv,2020,0.0,352.0,0,0.489,3688.0,0.4712,-1.43415,2.88,2.66798
CoRoT-17 b,3.7681,tran,2011,0.0,1626.0,0,1.04,5740.0,1.59,0.13421,10.7,11.4342
HD 132563 b,1544.0,rv,2011,0.22,815.5,0,1.231,6289.0,1.29577,0.37408,2.31,13.5641
Kepler-14 b,6.790123,tran,2011,0.035,1605.0,0,1.512,6395.0,2.048,0.799,2.2,12.73456
WASP-1 b,2.5199454,tran,2007,0.0,1812.0,0,1.24,6110.0,1.47,0.44091,3.4,16.624430000000004
HD 221287 b,456.1,rv,2007,0.08,815.5,0,1.25,6304.0,1.13864,0.22011,1.3,13.1157
HD 47536 b,712.13,rv,2002,0.2,815.5,0,2.1,4380.0,23.47,2.24845,10.15,12.6673
HD 11977 b,711.0,rv,2005,0.4,815.5,0,1.91,4970.0,10.09,1.83858,1.2,12.6673
HD 62509 b,589.64,rv,2006,0.02,815.5,0,2.0,4892.63,8.9,1.612,0.98,13.3399
WASP-126 b,3.28883,tran,2016,0.18,1480.0,0,1.12,5800.0,1.27,0.15879,6.4,10.514543818900002
Kepler-236 c,23.968127,tran,2014,0.0,329.0,0,0.596005,3750.0,0.51,-1.22915,3.16,1.9953800000000002
WASP-123 b,2.9776412,tran,2016,0.0,1520.0,0,1.166,5740.0,1.285,0.16234,6.9,14.774780000000002
Kepler-17 b,1.4857108,tran,2011,0.011,1570.0,0,1.04,5781.0,1.01034,0.01164,1.8,14.685100000000002
Kepler-16 b,228.776,tran,2011,0.0069,815.5,0,0.6897,4450.0,0.6489,-0.90301,3.8,8.450098
Kepler-18 c,7.64159,tran,2011,0.0,899.0,0,0.972,5345.0,1.108,-0.031,10.0,5.492900000000001
Kepler-18 b,3.504725,tran,2011,0.0,1165.0,0,0.972,5345.0,1.108,-0.031,10.0,1.9953800000000002
WASP-96 b,3.4252602,tran,2014,0.0,1285.0,0,1.06,5540.0,1.05,0.03226,8.0,13.452
CoRoT-25 b,4.86069,tran,2013,0.0,1330.0,0,1.09,6040.0,1.19,0.14101,4.5,12.106800000000002
HD 205739 b,279.8,rv,2008,0.27,815.5,0,1.22,6176.0,1.33,0.36,2.84,13.5641
CoRoT-3 b,4.2568,tran,2008,0.0,1695.0,0,1.37,6740.0,1.56,0.39086,2.2,11.3221
HD 112640 b,613.2,rv,2020,0.24,815.5,0,1.8,4155.0,39.0,2.45255,1.6,12.8915
Kepler-1921 b,20.03479958,tran,2021,0.0,967.0,0,1.251,6120.0,2.0,0.80624,3.39,2.8948578448
MXB 1658-298 b,760.0,etv,2017,0.0,815.5,0,1.98,5552.0,0.95,-0.0734,3.98,11.994700000000002
Kepler-954 b,16.78176602,tran,2016,0.0,545.0,0,0.82,4990.0,0.76,-0.5722,3.39,2.3202070134
Kepler-18 d,14.85888,tran,2011,0.0,720.0,0,0.972,5345.0,1.108,-0.031,10.0,6.98383
CoRoT-23 b,3.6313,tran,2011,0.16,1660.0,0,1.14,5900.0,1.61,0.08678,7.2,11.770500000000002
Kepler-42 b,1.2137672,tran,2011,0.04,519.0,0,0.13,3068.0,0.17,-2.62,4.5,0.7847000000000002
WASP-103 b,0.925542,tran,2014,0.0,2508.0,0,1.22,6110.0,1.436,0.413,4.0,17.128880000000002
Kepler-51 c,85.312,tran,2012,0.014,439.0,0,1.04,6018.0,0.94,-0.1417,0.3,9.00163
Kepler-51 b,45.154,tran,2012,0.04,543.0,0,1.04,6018.0,0.94,-0.1417,0.3,7.095930000000001
HD 9446 b,30.052,rv,2009,0.2,815.5,0,1.0,5793.0,1.0,0.04139,3.98,14.012500000000001
HD 9446 c,192.9,rv,2009,0.06,815.5,0,1.0,5793.0,1.0,0.04139,3.98,13.452
Kepler-331 c,17.28111,tran,2014,0.0,425.0,0,0.653,4347.0,0.492,-0.78358,1.2,1.8384400000000003
Kepler-92 c,26.723,tran,2013,0.04,781.0,0,1.21,5883.0,1.7,0.55818,3.98,2.6007200000000004
HD 11506 c,223.92,rv,2008,0.228,815.5,0,1.22,6123.0,1.24,0.33685,2.5,14.012500000000001
Kepler-42 c,0.45328509,tran,2011,0.0,720.0,0,0.13,3068.0,0.17,-2.62,4.5,0.7286500000000001
Kepler-33 e,31.7844,tran,2011,0.0,752.0,0,1.291,5904.0,1.82,0.556,4.27,4.02439
Kepler-33 b,5.66793,tran,2011,0.0,1336.0,0,1.291,5904.0,1.82,0.556,4.27,1.7375500000000001
Kepler-33 f,41.02902,tran,2011,0.0,691.0,0,1.291,5904.0,1.82,0.556,4.27,4.460459
SWEEPS-11 b,1.796,tran,2006,0.0,815.5,0,1.1,5552.0,1.45,-0.0734,3.98,12.6673
51 Peg b,4.230785,rv,1995,0.013,815.5,0,1.03,5758.0,1.17561,0.13631,10.0,14.2367
HD 107148 b,48.056,rv,2005,0.05,815.5,0,1.12,5797.0,1.169193,0.12081,5.6,9.59576
GJ 876 d,1.93778,rv,2005,0.207,815.5,0,0.32,3293.74,0.3,-1.90658,1.0,2.5110400000000004
GJ 876 e,124.26,rv,2010,0.055,815.5,0,0.32,3293.74,0.3,-1.90658,1.0,3.9235
WASP-31 b,3.4059096,tran,2010,0.0,1423.7,0,1.163,6302.0,1.252,0.33572,1.0,17.36429
LTT 9779 b,0.792052,tran,2020,0.0,1978.0,0,1.02,5443.0,0.949,-0.16749,2.0,4.720421142000001
KOI-351 f,124.9144,tran,2013,0.0,407.0,0,1.2,6080.0,1.2,0.26853,0.53,2.8809700000000005
Kepler-1351 b,0.916140768,tran,2016,0.0,1212.0,0,0.7,4439.0,0.67,-0.98254,4.17,0.6500580352
HD 109833 b,9.188526,tran,2022,0.18,786.0,0,1.08,5881.0,1.0,0.07188,0.027,2.8882626655
HD 220773 b,3724.7,rv,2011,0.51,815.5,0,1.16,5940.0,1.679696,0.49796,4.4,13.5641
HD 108147 b,10.8985,rv,2002,0.53,890.0,0,1.22,6255.73,1.20664,0.30297,3.2,10.90733
HD 179949 b,3.092514,rv,2000,0.022,815.5,0,1.21,6168.0,1.266865,0.30146,2.56,13.900400000000001
HD 188015 b,461.2,rv,2004,0.137,815.5,0,1.09,5746.0,1.125296,0.05892,6.61,13.5641
HAT-P-18 b,5.508023,tran,2010,0.084,852.0,0,0.77,4803.0,0.749,-0.569,12.4,11.15395
24 Sex b,452.8,rv,2010,0.09,815.5,0,1.54,5098.0,4.9,1.164,2.7,13.3399
24 Sex c,883.0,rv,2010,0.29,815.5,0,1.54,5098.0,4.9,1.164,2.7,13.900400000000001
OGLE-2005-BLG-390L b,3285.0,micro,2005,0.0,50.0,0,0.22,5552.0,0.95,-0.0734,3.98,2.2083700000000004
HAT-P-16 b,2.77596,tran,2010,0.036,1626.0,0,1.218,6158.0,1.237,0.29447,2.0,14.44969
alf Ari b,380.8,rv,2010,0.25,815.5,0,1.5,4553.0,13.9,1.934,3.98,13.452
KOI-55 b,0.240104,obm,2011,0.0,815.5,1,0.496,27730.0,0.203,1.36,3.98,0.7589170000000001
HD 177830 c,110.9,rv,2010,0.3,815.5,0,1.47,4949.0,2.62,0.68502,4.4,7.86942
ups And d,1276.46,rv,1999,0.2987,815.5,0,1.3,6156.77,1.56,0.52541,5.0,12.443100000000001
CoRoT-12 b,2.828042,tran,2010,0.07,1442.0,0,1.078,5675.0,1.116,0.07,6.3,16.142400000000002
CoRoT-13 b,4.03519,tran,2010,0.0,1700.0,0,1.09,5945.0,1.01,0.07314,1.635,9.920850000000002
WASP-23 b,2.9444256,tran,2010,0.062,1076.55,0,0.78,5150.0,0.765,-0.37679,6.2,10.78402
Kepler-27 c,31.3309,tran,2011,0.0,481.0,0,0.65,5400.0,0.59,-0.32941,1.62,4.898770000000001
Kepler-32 e,2.896,tran,2012,0.0,652.0,0,0.58,3900.0,0.53,-1.29243,2.69,1.5001338584000001
Kepler-32 b,5.90124,tran,2011,0.0,514.0,0,0.58,3900.0,0.53,-1.29243,2.69,2.1971600000000002
HD 46375 b,3.023573,rv,2000,0.063,815.5,0,0.92,5285.0,0.914196,-0.24502,9.0,10.021740000000001
HD 41004 A b,963.0,rv,2004,0.74,815.5,0,0.95,5310.0,0.85,-0.293,0.22,13.2278
HD 41004 B b,1.3283,rv,2003,0.081,815.5,0,0.4,5036.0,1.04137,-0.20175,3.98,12.106800000000002
Kepler-1014 b,16.57110363,tran,2016,0.0,614.0,0,0.88,5388.0,0.84,-0.3365,4.79,2.3902132392
Kepler-338 c,24.310856,tran,2014,0.03,831.0,0,1.105,5923.0,1.735,0.5857,6.46,2.34289
HD 114783 b,493.7,rv,2001,0.144,815.5,0,0.853,5135.0,0.840622,-0.3725,6.0,13.788300000000001
HD 19994 b,466.2,rv,2003,0.063,815.5,0,1.365,6188.0,1.79647,0.58,2.4,13.5641
HD 181433 d,2172.0,rv,2008,0.48,815.5,0,0.78,4962.0,0.79,-0.511,6.7,14.2367
HD 196885 A b,1333.0,rv,2007,0.48,815.5,0,1.28,6254.0,1.31,0.38,3.12,13.2278
Kepler-34 b,288.822,tran,2011,0.182,815.5,0,1.0479,5913.0,1.1618,0.173,3.98,8.564440000000001
Kepler-35 b,131.458,tran,2011,0.042,815.5,0,0.8877,5606.0,1.0284,-0.027,3.98,8.16088
HD 129445 b,1840.0,rv,2009,0.7,815.5,0,0.99,5646.0,1.175816,0.08968,3.98,13.2278
HAT-P-20 b,2.875317,tran,2010,0.015,970.0,0,0.756,4595.0,0.694,-0.721,6.7,9.71907
HAT-P-23 b,1.212884,tran,2010,0.106,2056.0,0,1.13,5905.0,1.203,0.199,4.0,15.335280000000003
Kepler-339 c,6.988055,tran,2014,0.0,914.0,0,0.87,5631.0,0.802,-0.31322,0.98,1.15463
Kepler-881 b,4.44448017,tran,2016,0.0,1217.0,0,1.06,5961.0,1.09,0.11975,3.8,1.7801587616
TOI-2411 b,0.7826942,tran,2022,0.0,1355.0,0,0.65,4099.0,0.68,-0.87076,3.98,1.6801527822000002
gam1 Leo b,428.5,rv,2009,0.144,815.5,0,1.23,4330.0,31.88,2.51,2.412,12.555200000000003
BD+20 2457 c,621.99,rv,2009,0.18,815.5,0,2.8,4137.0,49.0,3.17,3.98,12.331000000000001
KELT-1 b,1.217514,tran,2012,0.0099,2361.0,0,1.335,6516.0,1.471,0.545,3.98,12.443100000000001
BD+20 274 b,578.2,rv,2012,0.21,815.5,0,0.8,4296.0,17.3,1.96,3.98,13.0036
